t,y_t,u_tm1,z_pos_0,z_pos_1,z_pos_2,z_pos_3,z_pos_4,z_pos_5,z_pos_6,z_pos_7,z_pos_8,z_pos_9,z_neg_0,z_neg_1,z_neg_2,z_neg_3,z_neg_4,z_neg_5,z_neg_6,z_neg_7,z_neg_8,z_neg_9
163,5.767509598796833,21.90995234199842,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
164,5.81405408326186,21.90995180581243,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
165,5.858328643950253,21.90995180932739,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
166,5.900443794307201,27.667483027700825,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
167,5.940504972709727,26.43689634256123,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
168,5.978612455385791,26.43689727312643,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
169,6.0148614652430155,25.636897228362674,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
170,6.33796128877278,23.93822595828605,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
171,6.645303392544772,23.9382276316125,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
172,6.9376563618572975,25.375388072111587,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
173,7.215751231723343,24.55298586957608,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
174,7.480283257107443,23.41193935094252,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
175,7.970314075680769,23.411939312820923,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
176,8.436445982403757,22.08111253074924,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
177,8.87984438843156,22.08111244762046,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
178,9.301618055168602,20.39773559384169,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
179,9.702821556528354,20.397735588709857,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
180,10.084458132371605,18.396179091693174,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
181,10.672120561559545,17.209256244379596,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
182,11.183109219207868,15.952369199694258,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
183,11.669176702256435,14.645015537520136,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
184,12.100325224359166,13.338095743033833,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
185,12.444170244572689,12.033421002452577,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
186,12.77124581055511,10.739744648329982,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
187,13.138442626367171,9.545075545701804,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
